App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
5953872,HDR,10/28/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5949289,HDR,08/19/2019,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information,11/20/2019 05:00:03 PM
5951772,HDR,09/26/2019,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5953436,HDR,10/22/2019,Pending Fitness Interview,11/15/2019,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952670,HDR,10/10/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,11/20/2019 05:00:03 PM
5952353,HDR,10/05/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5952007,HDR,09/30/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,11/20/2019 05:00:03 PM
5950887,HDR,09/13/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953985,HDR,10/29/2019,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5953531,HDR,10/23/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953675,HDR,10/24/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5950747,HDR,09/12/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5955263,HDR,11/20/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952365,HDR,10/06/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5950094,HDR,09/03/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5949962,HDR,08/30/2019,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,11/20/2019 05:00:03 PM
5953464,HDR,10/22/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5954483,HDR,11/07/2019,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,11/20/2019 05:00:03 PM
5953537,HDR,10/23/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953894,HDR,10/28/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954910,HDR,11/14/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5951998,HDR,09/30/2019,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5921778,HDR,02/06/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5949148,HDR,08/19/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5953252,HDR,10/18/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954348,HDR,11/05/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5953269,HDR,10/19/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Copy of DMV license needed,11/20/2019 05:00:03 PM
5951375,HDR,09/20/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5951590,HDR,09/24/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5949309,HDR,08/20/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952469,HDR,10/08/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5948723,HDR,08/12/2019,Denied,Not Applicable,Complete,Complete,Needed,Complete,Complete,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5947999,HDR,08/01/2019,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5950240,HDR,09/05/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5951133,HDR,09/17/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5954460,HDR,11/06/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5950345,HDR,09/09/2019,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Not Applicable,11/20/2019 05:00:03 PM
5951170,HDR,09/18/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5955083,HDR,11/18/2019,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952867,HDR,10/15/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953161,HDR,10/17/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5948458,HDR,08/08/2019,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5949919,HDR,08/29/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5951537,HDR,09/24/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952360,HDR,10/06/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952595,HDR,10/09/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953316,HDR,10/21/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953389,HDR,10/21/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954349,HDR,11/05/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5951030,HDR,09/16/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953155,HDR,10/17/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5951417,HDR,09/22/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954791,HDR,11/13/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5953772,HDR,10/25/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,11/20/2019 05:00:03 PM
5951401,HDR,09/22/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5950264,HDR,09/06/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,11/20/2019 05:00:03 PM
5954323,HDR,11/04/2019,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5952287,HDR,10/04/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952874,HDR,10/15/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Copy of DMV license needed,11/20/2019 05:00:03 PM
5951266,HDR,09/19/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953271,HDR,10/19/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5950086,HDR,09/03/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952133,HDR,10/02/2019,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953481,HDR,10/22/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954645,HDR,11/11/2019,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5953381,HDR,10/21/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,11/20/2019 05:00:03 PM
5953516,HDR,10/22/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5949119,HDR,08/17/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5949031,HDR,08/16/2019,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953033,HDR,10/16/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5951121,HDR,09/17/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,"Fingerprints, copy of DMV lic, other. Visit www.nyc.gov/tlcup",11/20/2019 05:00:03 PM
5954162,HDR,10/31/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952249,HDR,10/03/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,11/20/2019 05:00:03 PM
5955003,HDR,11/16/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952195,HDR,10/03/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952766,HDR,10/11/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952025,HDR,10/01/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5952832,HDR,10/14/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952167,HDR,10/02/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953829,HDR,10/27/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952681,HDR,10/10/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5949387,HDR,08/21/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5947693,HDR,07/26/2019,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954796,HDR,11/13/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5950008,HDR,09/02/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5955150,HDR,11/19/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5951714,HDR,09/25/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953961,HDR,10/29/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953407,HDR,10/21/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5947865,HDR,07/29/2019,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954320,HDR,11/04/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5948026,HDR,08/01/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952713,HDR,10/10/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5921786,HDR,02/06/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Copy of DMV license needed,11/20/2019 05:00:03 PM
5953194,HDR,10/17/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5951793,HDR,09/26/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5947920,HDR,07/30/2019,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953419,HDR,10/22/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954662,HDR,11/11/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953805,HDR,10/26/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952808,HDR,10/12/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952500,HDR,10/08/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952262,HDR,10/03/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953415,HDR,10/21/2019,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952032,HDR,10/01/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954606,HDR,11/09/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5950322,HDR,09/08/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5948620,HDR,08/11/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953297,HDR,10/20/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953308,HDR,10/20/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952036,HDR,10/01/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5953898,HDR,10/28/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954773,HDR,11/12/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5949312,HDR,08/20/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5949170,HDR,08/19/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5951141,HDR,09/18/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954830,HDR,11/13/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5921765,VDR,11/09/1998,Under Review,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,11/20/2019 05:00:03 PM
5954480,HDR,11/07/2019,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953239,HDR,10/18/2019,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5949581,HDR,08/23/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5949923,HDR,08/30/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952794,HDR,10/11/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5951197,HDR,09/18/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
